"AN","AR","AS","CB","CE","CL","CM","CN","CT","EX","GA","IB","MC","MD","ML","NC","PV","RI","VC"
139,184,103,146,86,133,334,119,307,390,174,506,159,329,201,171,218,226,519
138,186,99,142,94,130,339,116,325,409,172,509,172,340,207,173,205,220,534
146,200,104,148,113,137,358,118,349,452,171,511,190,366,203,174,208,242,558
156,222,107,153,123,148,397,116,371,513,177,513,215,407,204,187,207,275,600
163,232,108,148,134,154,414,120,390,532,182,512,238,389,227,194,205,307,619
165,230,110,169,143,158,422,115,389,545,186,501,239,388,237,199,203,302,623
174,240,109,179,175,173,437,118,400,587,188,509,271,398,249,201,204,304,655
176,244,114,187,187,181,441,119,381,603,195,499,278,381,249,204,206,322,660
192,252,118,201,210,203,465,118,403,640,198,500,322,409,279,214,202,326,684
217,284,125,211,241,239,514,121,431,694,206,513,388,472,323,220,207,354,740
228,289,137,226,251,258,541,123,415,731,219,511,413,480,332,226,210,368,773
262,313,146,238,275,302,617,126,464,834,235,550,506,542,352,243,221,417,854
309,357,160,247,306,358,695,135,515,920,258,561,605,624,394,257,239,479,959
